Weight,Height,BMI,Gender,Age,BMIcase,Exercise Recommendation Plan
92.08519020069818,1.7602495143340122,29.71948799321624,Female,59,over weight,5
61.089124444710954,1.595498707757723,23.997775552178616,Female,25,normal,4
82.45403663089465,1.816538312922449,24.987499459376732,Female,50,normal,4
101.71330612932992,1.7906964553733637,31.72004707263985,Female,62,obese,6
99.60952715984465,1.9697256324734553,25.673755769013695,Male,57,over weight,5
99.04124818027219,1.852777770457074,28.851569415284683,Male,46,over weight,5
62.3473366461529,1.5432593143113797,26.17821874644839,Female,35,over weight,5
89.72590622451526,1.825479895276209,26.925498020073658,Male,24,over weight,5
62.038769083754026,1.4759921910847043,28.47705360415278,Female,19,over weight,5
67.6756124682846,1.5360754211274583,28.681847000874825,Female,38,over weight,5
107.99692225990341,1.9453914422460532,28.53628125558835,Male,34,over weight,5
82.82628327597693,1.9619068025472304,21.518471898973477,Male,22,normal,4
70.47653237437176,1.4345029949354824,34.24850423643655,Female,65,obese,6
73.34722537953101,1.846975336857931,21.501140508735702,Male,46,normal,4
83.73327443551094,1.6192563115612308,31.934996861044617,Female,32,obese,6
81.76374637567586,1.6748494208094356,29.14803266893338,Female,55,over weight,5
78.6203419112259,1.9085091991706409,21.584719683738797,Male,48,normal,4
107.59384589110743,1.7550713272260978,34.92994397863574,Female,37,severe obese,7
92.79091691779865,1.8232449735063772,27.913572078614717,Female,35,severe obese,7
79.3926887416147,1.5685327823806208,32.269579809180364,Female,52,obese,6
79.17277464708741,1.7687471113787216,25.307216361353273,Male,27,over weight,5
90.94434370821197,1.7811806294488808,28.665516164837044,Male,23,over weight,5
103.99803837311704,1.816384463371767,31.521697045373713,Female,54,severe obese,7
70.92278162155696,1.6674506571918748,25.508197916962413,Female,44,over weight,5
95.54377862966797,1.6822885012539097,33.75992399005958,Female,42,obese,6
93.4635742869198,1.7149442186196797,31.77915817342928,Female,40,obese,6
75.53521252999667,1.6590771298261298,27.442034258189313,Female,46,over weight,5
75.85228737048531,1.9304486662812215,20.35411231608766,Male,43,normal,4
90.16907158237265,1.7283643919661391,30.184707890454128,Male,49,obese,6
95.9933866046164,1.7420549653628419,31.631341151018724,Male,64,obese,6
85.85827470582092,1.9085391597543897,23.57110848033274,Male,41,normal,4
97.39804515944203,1.9458664324519448,25.72315222992953,Male,27,over weight,5
69.95417071451725,1.4639392072612516,32.64130609283444,Female,41,obese,6
106.71503729011127,1.7968205392958838,33.053405669841005,Male,52,obese,6
55.683024913674004,1.4790925698242825,25.4525974534302,Female,45,over weight,5
65.54053724842764,1.5648279960049807,26.76558760954632,Female,54,over weight,5
83.51422702451748,1.6186869827550103,31.87386415844647,Female,38,severe obese,7
95.86073216869931,1.7961113035354228,29.71489839952282,Female,36,over weight,5
71.56513974481476,1.5011282100419954,31.75893647424072,Female,61,obese,6
50.23352306823919,1.8034279821829513,15.445288685730185,Male,58,sever thinness,1
63.529491180595656,1.8270019375279791,19.032566730791206,Female,41,normal,4
58.13286102204924,1.829761919454482,17.363310337385272,Female,65,mild thinness,3
74.61466628819433,1.7505292372343821,24.349242980282547,Male,55,normal,4
89.71598685471423,1.6104882234583748,34.59033210772717,Female,46,severe obese,7
90.2466717676997,1.6487060159758635,33.200509547280184,Female,65,severe obese,7
96.2956710328852,1.8153370947750915,29.220806579576365,Male,42,over weight,5
63.04900537560143,1.6271090731378657,23.81468855049516,Female,27,normal,4
75.13442245843532,1.6109620391132655,28.951317949398106,Female,56,over weight,5
54.43046227537205,1.4019628324991649,27.692937300993588,Female,22,over weight,5
67.96557741445511,1.7991783748009025,20.996193471143556,Male,29,normal,4
72.87722610726534,1.8142564996254242,22.14085861532965,Male,49,normal,4
100.43865782264095,1.7976757951819196,31.07979594232304,Female,32,severe obese,7
68.95487349103651,1.647120302543011,25.416416885926907,Female,40,over weight,5
59.733732714450746,1.9108201922023826,16.359876105743705,Male,54,moderate thinness,2
86.1271120029133,1.6680915320625327,30.952813386803413,Female,38,severe obese,7
57.98265020396804,1.542503494591676,24.36945117137312,Female,65,normal,4
69.64438039669199,1.9480884768437052,18.351379824692945,Male,48,mild thinness,3
59.56960814879204,1.402599152840181,30.280120478239333,Female,43,obese,6
94.00141137602287,1.710190206256711,32.13997571408546,Female,19,severe obese,7
58.58150873874088,1.396166368248184,30.052887669296158,Female,63,obese,6
85.45909463081271,1.7731052057489218,27.182492555513143,Male,62,over weight,5
63.19690170160814,1.6742696036564377,22.544728087608018,Female,60,normal,4
65.7926541963798,1.8464630739887675,19.29728242892069,Male,27,normal,4
83.55031234702165,1.7281374154030058,27.976380858683857,Male,55,over weight,5
53.26887789852249,1.9770478804895426,13.628221200318608,Male,65,sever thinness,1
105.73460069218561,1.8179656796748072,31.992322507389993,Female,20,severe obese,7
88.82961783072872,1.6425408195744344,32.92497479765399,Female,58,obese,6
66.38289304932843,1.5917656869131829,26.199795318986915,Female,63,over weight,5
90.7706711228976,1.8122264864065758,27.638890128684537,Female,56,severe obese,7
81.98351434800747,1.797633170593269,25.370228839572892,Female,30,over weight,5
96.94983248277464,1.7792046417890446,30.626351112011534,Female,30,severe obese,7
